function,dim,x1,x2,x3,f(x)
sphere,3,2.7395604855596334,-0.6112156024794766,3.585979199113824,20.738022983231108
sphere,3,1.9736802905936388,-4.058226521123505,4.756223516367559,42.98627852387576
sphere,3,2.6113970199035297,2.8606430527695377,-3.7188636732445413,28.83262009109754
sphere,3,-0.49614062104432843,-1.2920197576741876,4.267649888486018,20.128306140765435
sphere,3,1.4386512008066452,3.227616132708299,-0.5658580117266885,12.807418467136559
sphere,3,-2.727612782152231,0.5458478701583482,-4.3618274389582465,26.763359993965697
sphere,3,3.27631171992582,1.3166439912206487,2.5808774008537387,19.128698043978275
sphere,3,-1.4547403187013161,4.706980243949033,3.9312112132219763,39.726354014743904
sphere,3,2.783834970737619,-3.0536129214803243,-0.3327899627296578,17.18503817782693
sphere,3,-4.561962342127712,-3.4571050793245215,1.8304895324245463,36.1137678687986
sphere,3,2.447621559078171,4.675097324342101,-1.7417464186184803,30.88106687530523
sphere,3,-1.2954029396513111,-0.30444188724192056,-3.1052864091571433,11.413557321660747
sphere,3,-3.7007849466452836,-0.24295073774066278,-2.7309065094911587,21.21268464586625
sphere,3,1.698139946825103,-0.6284808112766926,3.3267819605783746,14.346145622375868
sphere,3,2.0026510200224914,-1.8763335861795891,3.3225980139520104,18.570896396940526
sphere,3,3.047643574968019,-1.1252162096982552,-2.116718960697559,15.03474203718811
sphere,3,1.8249550397497547,-3.602475163906902,-3.0009179752489166,25.313796897846146
sphere,3,-4.926377302489945,2.869243775021384,1.6485085659203218,35.21933365889974
sphere,3,2.0516537862633513,2.8072903102196793,-0.41084224461660046,12.258953494503656
sphere,3,0.6874119595289372,-3.6020300187234255,-3.8546992646402654,28.3058618787063
sphere,3,1.6840296179047165,-0.28903793856867477,0.6523610648118883,3.3450736427948353
sphere,3,2.649988574160256,1.347183200005908,0.535794006579958,9.124417235045069
sphere,3,0.5920716074541357,-1.960499019373878,-4.691821654320606,26.20729562927101
sphere,3,-0.6328261076763759,-2.854153271804708,-0.9147135627536382,9.383360683395805
sphere,3,3.5340307326816607,-2.6606051413465925,-4.41697258310934,39.077839737637994
sphere,3,-2.1861610797800344,-2.064062422333164,1.6191651472689506,11.661349724163337
sphere,3,0.5703215234127832,2.8389820910641355,1.6431354032738756,11.08497990694277
sphere,3,-0.9361313855992943,3.140203846660347,-3.330270800922961,21.827925777164552
sphere,3,-4.772879268661395,-4.099521392243583,2.2235935059645033,44.53082023844801
